а,а,1
аб,аб,1
абад,а-бад,2
абадий,а-ба-дий,3
абадия,а-ба-ди-я,4
абадиян,а-ба-ди-ян,4
абадият,а-ба-ди-ят,4
абадийлаш,а-ба-дий-лаш,4
абадийлашмоқ,а-ба-дий-лаш-моқ,5
абадийлаштирилмоқ,а-ба-дий-лаш-ти-рил-моқ,7
абадийлаштириш,а-ба-дий-лаш-ти-риш,6
абадийлаштирмоқ,а-ба-дий-лаш-тир-моқ,6
абадийлаштирув,а-ба-дий-лаш-ти-рув,6
абадийлаштирувчи,а-ба-дий-лаш-ти-рув-чи,7
абадийлашув,а-ба-дий-ла-шув,5
абадийлик,а-ба-дий-лик,4
абадиёт,а-ба-ди-ёт,4
абадулабад,а-ба-ду-ла-бад,5
абажур,а-ба-жур,3
абажурли,а-ба-жур-ли,4
абажуртутқич,а-ба-жур-тут-қич,5
абак,а-бак,2
абака,а-ба-ка,3
абаксиал,а-бак-си-ал,4
абактериал,а-бак-те-ри-ал,5
абалиенация,а-ба-ли-е-на-ци-я,7
абандон,а-бан-дон,3
абас,а-бас,2
абазалар,а-ба-за-лар,4
абазия,а-ба-зи-я,4
аббат,аб-бат,2
аббосий,аб-бо-сий,3
аббосийлар,аб-бо-сий-лар,4
аббревиация,абб-ре-ви-а-ци-я,6
аббревиатура,абб-ре-ви-а-ту-ра,6
абд,абд,1
абдал,аб-дал,2
абдикация,аб-ди-ка-ци-я,5
абдол,аб-дол,2
абдоллик,аб-дол-лик,3
абдолваш,аб-дол-ваш,3
абдомен,аб-до-мен,3
абдоминал,аб-до-ми-нал,4
абдоминоскопия,аб-до-ми-нос-ко-пи-я,7
абдуксия,аб-дук-си-я,4
абдуктор,аб-дук-тор,3
абелия,а-бе-ли-я,4
аберрацион,а-бер-ра-ци-он,5
аберрация,а-бер-ра-ци-я,5
абгор,аб-гор,2
абгора,аб-го-ра,3
абгорланиш,аб-гор-ла-ниш,4
абгорланмоқ,аб-гор-лан-моқ,4
абгорланув,аб-гор-ла-нув,4
абгорланганлик,аб-гор-ла-нган-лик,5
абгорлик,аб-гор-лик,3
абҳар,аб-ҳар,2
абиоген,а-би-о-ген,4
абиогенез,а-би-о-ге-нез,5
абиотик,а-би-о-тик,4
абиотрофия,а-би-от-ро-фи-я,6
абиоз,а-би-оз,3
абир,а-бир,2
абира,а-би-ра,3
абирафшон,а-би-раф-шон,4
абиссал,а-бис-сал,3
абиссолит,а-бис-со-лит,4
абиссопелитлар,а-бис-со-пе-лит-лар,6
абитуриент,а-би-ту-ри-ент,5
абитуриентлик,а-би-ту-ри-ент-лик,6
абихит,а-би-хит,3
абжад,аб-жад,2
абжадхнонлик,аб-жадх-нон-лик,4
абжадхон,аб-жад-хон,3
абжадхонлик,аб-жад-хон-лик,4
абжақ,аб-жақ,2
абжақламоқ,аб-жақ-ла-моқ,4
абжақланмоқ,аб-жақ-лан-моқ,4
абжақланув,аб-жақ-ла-нув,4
абжир,аб-жир,2
абжирланиш,аб-жир-ла-ниш,4
абжирланмоқ,аб-жир-лан-моқ,4
абжирлашмоқ,аб-жир-лаш-моқ,4
абжирлик,аб-жир-лик,3
абжирона,аб-жи-ро-на,4
абжўш,аб-жўш,2
абжўши,аб-жў-ши,3
аблаҳ,аб-лаҳ,2
аблаҳларча,аб-лаҳ-лар-ча,4
аблаҳлашмоқ,аб-лаҳ-лаш-моқ,4
аблаҳлик,аб-лаҳ-лик,3
аблаҳнамо,аб-лаҳ-на-мо,4
аблаҳона,аб-ла-ҳо-на,4
аблактировка,аб-лак-ти-ров-ка,5
аблақ,аб-лақ,2
абластика,аб-лас-ти-ка,4
аблефария,аб-ле-фа-ри-я,5
аблятив,аб-ля-тив,3
абляция,аб-ля-ци-я,4
або,а-бо,2
абобил,а-бо-бил,3
аболиционист,а-бо-ли-ци-о-нист,6
аболиционизм,а-бо-ли-ци-о-низм,6
аболиция,а-бо-ли-ци-я,5
абонемент,а-бо-не-мент,4
абонент,а-бо-нент,3
абонентлик,а-бо-нент-лик,4
абордаж,а-бор-даж,3
абориген,а-бо-ри-ген,4
аборигенлар,а-бо-ри-ген-лар,5
аборт,а-борт,2
абортив,а-бор-тив,3
абр,абр,1
абр ва авр,а-бр ва- авр,3
абразион,аб-ра-зи-он,4
абразит,аб-ра-зит,3
абразив,аб-ра-зив,3
абразивлар,аб-ра-зив-лар,4
абразия,аб-ра-зи-я,4
абраш,аб-раш,2
абрбанд,абр-банд,2
абрбанди,абр-бан-ди,3
абрбандлик,абр-банд-лик,3
абрбандхона,абр-банд-хо-на,4
абрбандчи,абр-банд-чи,3
